epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,422.34,1.45492,2.27038,1.67226,0.3483,0.40179,0.32234,0.14208,2.0531,2.73523,2.46527,0.000551326,0.000551326,0.000551326
2,844.701,1.55972,2.08029,1.77111,0.55695,0.33661,0.29316,0.12407,2.13539,3.41171,2.40861,0.00106316,0.00106316,0.00106316
3,1272.22,1.58767,1.95403,1.7963,0.30991,0.36952,0.24887,0.11901,2.03008,2.63081,2.25694,0.00153098,0.00153098,0.00153098
4,1700.29,1.58969,1.89712,1.77461,0.78275,0.1658,0.18205,0.09398,1.92461,3.19888,2.16853,0.00146896,0.00146896,0.00146896
5,2128.74,1.54221,1.73653,1.72239,0.49231,0.49734,0.47922,0.24668,1.86826,2.10379,1.9865,0.00140295,0.00140295,0.00140295
6,2555.69,1.47639,1.64605,1.67711,0.41782,0.41433,0.36109,0.17856,1.77406,2.05227,1.91735,0.00133693,0.00133693,0.00133693
7,2982.79,1.45681,1.61951,1.66597,0.79107,0.44572,0.53812,0.30825,1.55423,1.74127,1.72719,0.00127092,0.00127092,0.00127092
8,3423.64,1.39108,1.47845,1.62754,0.52539,0.63501,0.57839,0.30391,1.48146,1.75286,1.68843,0.00120491,0.00120491,0.00120491
9,3856.64,1.35357,1.44256,1.57676,0.77024,0.53574,0.59616,0.35938,1.4341,1.54902,1.60179,0.00113889,0.00113889,0.00113889
10,4270.22,1.36186,1.37658,1.56731,0.84439,0.52489,0.52227,0.31647,1.47666,1.80721,1.58108,0.00107288,0.00107288,0.00107288
11,4697.65,1.32095,1.32229,1.54331,0.70622,0.69801,0.74135,0.44064,1.34109,1.12969,1.49748,0.00100687,0.00100687,0.00100687
12,5108.23,1.29195,1.2649,1.53181,0.72239,0.6615,0.70142,0.43896,1.32169,1.25639,1.48679,0.000940855,0.000940855,0.000940855
13,5512.27,1.30062,1.25736,1.52591,0.73857,0.74055,0.76893,0.45222,1.35516,1.24092,1.48126,0.000874842,0.000874842,0.000874842
14,5921.04,1.27514,1.21057,1.51286,0.78488,0.73487,0.79225,0.50213,1.16839,1.19996,1.37133,0.000808828,0.000808828,0.000808828
15,6326.47,1.24829,1.16912,1.49385,0.77792,0.73846,0.76652,0.46834,1.33399,1.27342,1.46395,0.000742815,0.000742815,0.000742815
16,6758.44,1.17248,1.02951,1.54081,0.71165,0.76178,0.78822,0.46778,1.27258,1.06642,1.43558,0.000676802,0.000676802,0.000676802
17,7160.29,1.1225,0.94542,1.49516,0.77781,0.65872,0.74829,0.44459,1.33097,1.09061,1.45637,0.000610789,0.000610789,0.000610789
18,7560.68,1.10491,0.9048,1.48702,0.83878,0.80045,0.84303,0.56404,1.15181,0.86439,1.34771,0.000544776,0.000544776,0.000544776
19,7961.5,1.0737,0.85897,1.45111,0.78854,0.82195,0.87176,0.5486,1.18189,0.89848,1.3739,0.000478762,0.000478762,0.000478762
20,8361.97,1.03881,0.80993,1.4079,0.76173,0.84045,0.84991,0.55681,1.17681,0.88439,1.34797,0.000412749,0.000412749,0.000412749
21,8763.37,1.00991,0.78754,1.3981,0.85787,0.81764,0.88305,0.6043,1.15227,0.81948,1.33571,0.000346736,0.000346736,0.000346736
22,9165.28,0.98154,0.75243,1.38486,0.871,0.77797,0.8589,0.58282,1.2369,0.8571,1.36972,0.000280723,0.000280723,0.000280723
23,9567.3,0.96513,0.70714,1.35613,0.87197,0.82896,0.88541,0.60392,1.13663,0.76703,1.33001,0.00021471,0.00021471,0.00021471
24,9969.23,0.94155,0.69028,1.34378,0.93491,0.82332,0.90138,0.63475,1.12938,0.76519,1.32546,0.000148696,0.000148696,0.000148696
25,10371.4,0.91271,0.66379,1.33146,0.84615,0.84368,0.89124,0.62886,1.12092,0.75613,1.30464,8.26832e-05,8.26832e-05,8.26832e-05
